#,started on Sat,01-10-2014 06:36,,
,,,,
#,time,counts unit,events,
,1.503475125,"2,469",dTLB-store-misses,-84.04%
,1.503475125,113,iTLB-load-misses,-26.46%
,1.503475125,"47,455",LLC-load-misses,-21.28%
,1.503475125,"55,409",LLC-store-misses,-21.29%
,1.503475125,"56,80,340",branch-load-misses,-30.97%
,1.503475125,"34,44,64,607",cycles,-41.61%
,1.503475125,"57,20,20,876",instructions                     #    1.66  insn per cycle,-52.26%
,1.578657636,"56,86,069",branch-misses,-73.25%
,1.578657636,"2,14,386",cache-misses,-78.57%
,1.578657636,"4,23,515",L1-dcache-load-misses,-73.25%
,1.578657636,"15,107",L1-icache-load-misses,-68.08%
,1.578657636,"37,169",dTLB-load-misses,-68.08%
,1.578657636,"2,920",dTLB-store-misses,-68.08%
,1.578657636,123,iTLB-load-misses,-37.39%
,1.578657636,"49,250",LLC-load-misses,-42.56%
,1.578657636,"55,350",LLC-store-misses,-42.56%
,1.578657636,"56,75,783",branch-load-misses,-53.20%
,1.578657636,"34,46,03,221",cycles,-62.62%
,1.578657636,"56,83,36,200",instructions                     #    1.65  insn per cycle,-67.94%
,1.653834737,"57,08,615",branch-misses,-57.43%
,1.653834737,"1,94,060",cache-misses,-68.07%
,1.653834737,"4,12,602",L1-dcache-load-misses,-70.41%
,1.653834737,"13,531",L1-icache-load-misses,-75.73%
,1.653834737,"31,249",dTLB-load-misses,-81.04%
,1.653834737,"2,874",dTLB-store-misses,-84.04%
,1.653834737,126,iTLB-load-misses,-34.92%
,1.653834737,"44,550",LLC-load-misses,-29.60%
,1.653834737,"56,579",LLC-store-misses,-24.28%
,1.653834737,"57,10,627",branch-load-misses,-29.60%
,1.653834737,"34,46,20,748",cycles,-36.15%
,1.653834737,"57,54,62,601",instructions                     #    1.67  insn per cycle,-46.79%
,1.729010579,"56,06,802",branch-misses,-78.72%
,1.729010579,"2,11,648",cache-misses,-84.04%
,1.729010579,"4,12,640",L1-dcache-load-misses,-81.71%
,1.729010579,"13,685",L1-icache-load-misses,-76.39%
,1.729010579,"35,159",dTLB-load-misses,-71.07%
,1.729010579,"2,795",dTLB-store-misses,-68.08%
,1.729010579,197,iTLB-load-misses,-28.93%
,1.729010579,"48,812",LLC-load-misses,-34.25%
,1.729010579,"56,683",LLC-store-misses,-39.57%
,1.729010579,"56,19,737",branch-load-misses,-50.21%
,1.729010579,"34,39,11,843",cycles,-60.85%
,1.729010579,"56,99,13,637",instructions                     #    1.66  insn per cycle,-71.49%
,1.804197941,"54,73,740",branch-misses,-57.44%
,1.804197941,"2,47,792",cache-misses,-68.08%
,1.804197941,"4,23,844",L1-dcache-load-misses,-68.08%
,1.804197941,"13,584",L1-icache-load-misses,-68.08%
,1.804197941,"39,041",dTLB-load-misses,-72.58%
,1.804197941,"2,639",dTLB-store-misses,-77.90%
,1.804197941,169,iTLB-load-misses,-42.56%
,1.804197941,"60,754",LLC-load-misses,-38.06%
,1.804197941,"56,006",LLC-store-misses,-32.74%
,1.804197941,"54,96,086",branch-load-misses,-38.06%
,1.804197941,"34,17,81,545",cycles,-43.38%
,1.804197941,"56,20,67,696",instructions                     #    1.64  insn per cycle,-48.71%
,1.879376058,"55,70,700",branch-misses,-73.68%
,1.879376058,"1,85,624",cache-misses,-84.04%
,1.879376058,"3,98,194",L1-dcache-load-misses,-84.04%
,1.879376058,"12,418",L1-icache-load-misses,-84.04%
,1.879376058,"29,511",dTLB-load-misses,-79.54%
,1.879376058,"3,007",dTLB-store-misses,-74.22%
,1.879376058,112,iTLB-load-misses,-21.28%
,1.879376058,"38,948",LLC-load-misses,-25.78%
,1.879376058,"58,014",LLC-store-misses,-31.10%
,1.879376058,"55,87,208",branch-load-misses,-41.74%
,1.879376058,"34,45,85,880",cycles,-52.38%
,1.879376058,"58,66,06,773",instructions                     #    1.70  insn per cycle,-63.03%
,1.954544341,"56,12,469",branch-misses,-62.47%
,1.954544341,"1,82,958",cache-misses,-68.07%
,1.954544341,"3,83,622",L1-dcache-load-misses,-68.07%
,1.954544341,"13,633",L1-icache-load-misses,-68.07%
,1.954544341,"27,287",dTLB-load-misses,-68.07%
,1.954544341,"2,571",dTLB-store-misses,-69.45%
,1.954544341,115,iTLB-load-misses,-42.57%
,1.954544341,"35,701",LLC-load-misses,-42.57%
,1.954544341,"58,973",LLC-store-misses,-41.19%
,1.954544341,"55,85,441",branch-load-misses,-46.52%
,1.954544341,"34,35,82,502",cycles,-51.84%
,1.954544341,"57,95,88,193",instructions                     #    1.69  insn per cycle,-57.16%
#,time,counts unit,events,
,2.029735018,"55,45,178",branch-misses,-65.22%
,2.029735018,"2,42,631",cache-misses,-75.86%
,2.029735018,"4,12,895",L1-dcache-load-misses,-81.18%
,2.029735018,"16,258",L1-icache-load-misses,-84.03%
,2.029735018,"39,386",dTLB-load-misses,-84.03%
,2.029735018,"2,661",dTLB-store-misses,-82.65%
,2.029735018,372,iTLB-load-misses,-24.15%
,2.029735018,"64,380",LLC-load-misses,-21.29%
,2.029735018,"56,144",LLC-store-misses,-22.66%
,2.029735018,"55,79,086",branch-load-misses,-33.31%
,2.029735018,"34,28,49,423",cycles,-43.92%
,2.029735018,"56,65,35,244",instructions                     #    1.65  insn per cycle,-54.56%
,2.104906515,"55,57,416",branch-misses,-70.93%
,2.104906515,"2,08,552",cache-misses,-76.25%
,2.104906515,"3,81,443",L1-dcache-load-misses,-70.93%
,2.104906515,"14,257",L1-icache-load-misses,-68.07%
,2.104906515,"31,873",dTLB-load-misses,-68.08%
,2.104906515,"2,677",dTLB-store-misses,-68.07%
,2.104906515,120,iTLB-load-misses,-39.70%
,2.104906515,"46,855",LLC-load-misses,-42.57%
,2.104906515,"57,414",LLC-store-misses,-42.57%
,2.104906515,"55,76,749",branch-load-misses,-53.21%
,2.104906515,"34,42,43,447",cycles,-60.30%
,2.104906515,"58,24,44,795",instructions                     #    1.69  insn per cycle,-65.62%
,2.180096873,"55,59,418",branch-misses,-57.44%
,2.180096873,"2,05,947",cache-misses,-68.08%
,2.180096873,"3,75,605",L1-dcache-load-misses,-72.72%
,2.180096873,"14,140",L1-icache-load-misses,-78.04%
,2.180096873,"28,730",dTLB-load-misses,-83.36%
,2.180096873,"3,156",dTLB-store-misses,-84.04%
,2.180096873,134,iTLB-load-misses,-32.60%
,2.180096873,"51,233",LLC-load-misses,-27.28%
,2.180096873,"56,015",LLC-store-misses,-21.97%
,2.180096873,"55,46,888",branch-load-misses,-27.29%
,2.180096873,"34,44,03,596",cycles,-36.16%
,2.180096873,"58,15,97,510",instructions                     #    1.69  insn per cycle,-46.80%
,2.255268204,"55,79,396",branch-misses,-78.72%
,2.255268204,"1,91,079",cache-misses,-84.04%
,2.255268204,"3,93,175",L1-dcache-load-misses,-79.39%
,2.255268204,"14,047",L1-icache-load-misses,-74.07%
,2.255268204,"31,522",dTLB-load-misses,-68.75%
,2.255268204,"3,110",dTLB-store-misses,-68.07%
,2.255268204,112,iTLB-load-misses,-31.25%
,2.255268204,"40,479",LLC-load-misses,-36.57%
