,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,cycles,instructions
6913,339379,1527595,7637871,27127,8985,10021,498,57069,122037,302801,228569585,408406030
6914,535843,308617,2211551,18166,1088,5280,152,902,23433,273246,232273766,132367855
6915,504193,746198,2428523,38751,615,3262,1466,168553,307287,472339,227287778,370924327
6916,370349,810672,4844242,559380,3822,8830,232,6676,113190,256869,231057839,508012099
6917,345095,1412849,6888693,22227,4728,8443,309,74817,157492,352062,228190388,484651967
6918,228686,919434,5613359,17492,6263,9413,597,26144,79168,266371,231450793,256115993
6919,589375,1002643,5909671,18564,5161,9083,70,31477,53814,579977,229616776,360385225
6920,607894,226435,2129337,31635,193,2446,1045,6648,50332,596076,232240289,327404678
6921,234150,850293,2431777,528396,7681,19824,111,1992,565,219478,230368118,456290406
6922,421838,1667235,9378354,176172,5721,19426,3642,104313,181570,326959,225948063,549336977
6923,389136,1527780,6996957,17993,4239,6852,333,90698,281249,402959,228320565,510151786
6924,316137,1263166,6589026,20535,7759,13773,604,68003,29139,330799,229488390,330998745
6925,428497,228439,1946580,10396,1182,5805,1414,2485,15441,631705,232279104,160761339
6926,548148,754559,2931463,56547,6675,13572,434,1855,33696,630803,228279560,365968203
6927,251790,849910,3890511,632239,2906,13903,587,41558,130516,239045,230945076,537731422
6928,260581,1355194,6113886,22058,6370,16124,36,441,2124,90855,230852937,299945928
6929,360113,1309868,5615821,16138,3881,9473,818,103198,224601,438828,229155090,473481949
6930,544836,892188,6192491,16871,5984,9286,429,33457,125498,624467,230882238,331149114
6931,677219,166938,2241710,33013,658,2897,546,1376,3386,698575,231692642,281598137
6932,224840,343053,1780260,45364,7729,19724,1935,51914,102408,165500,230980064,462867421
6933,429859,1409314,6577770,40417,6299,19303,1076,59798,175691,526674,228782588,440044919
6934,407019,1460727,6611634,17358,5177,11107,326,58917,166379,350889,229207199,482714705
6935,383114,1297119,6594733,20388,6787,13826,1015,105284,34261,373818,228318244,399051028
6936,679948,113168,1860200,18955,1057,4775,1095,2698,16690,629129,232295544,181371438
6937,463600,899710,2720406,52225,4190,5181,394,133941,499456,540104,226028737,407229164
6938,330786,1085989,6706504,600265,8381,21949,594,35076,12203,241350,229953453,574276030
6939,278051,1072832,5718923,20642,5883,12993,564,43237,53416,124987,231286356,292874439
6940,352795,1181569,6242677,17975,6966,8126,774,70372,223984,359820,229589581,451294362
6941,900102,370103,3711733,14857,3276,7665,178,1932,16804,867087,232257360,170059868
6942,636235,617173,3290457,54309,4367,11871,597,2617,33488,641314,231673092,350290151
6943,322034,594187,2898213,418689,4695,11035,2042,73367,95880,400880,230026184,497403851
6944,253154,885374,4847769,20625,5882,15104,886,60241,124504,287824,229813970,363789697
6945,350310,1312406,6716980,20292,8452,12760,404,47431,46206,299142,229310566,439039473
6946,545608,1181604,7243702,20301,5101,10298,657,80792,91097,535873,227927341,441188258
6947,705141,178061,2051794,23397,678,4217,690,1530,10770,614732,232272473,208691343
6948,263646,918116,2367269,33368,3415,5105,1057,115793,328151,307190,225637160,445431838
6949,479226,1602106,8641947,691448,5469,15075,1574,157937,268993,447877,228119131,595171541
6950,243667,849653,5434404,18853,4890,10301,568,40111,74032,312945,230289271,333435598
6951,338557,1340833,7099412,21651,7039,6866,173,963,271127,330807,230466503,416442034
6952,577842,577284,2765783,15087,2243,5023,366,60789,108300,321245,230682986,215725494
6953,619129,213327,2424138,35888,2905,3838,1464,108602,5258,720388,231664306,320618537
6954,362420,564644,13368573,933149,540,6797,370,113732,272037,361933,229797658,666209917
6955,385800,26267,14513087,965497,538,274,50,5698,41,386602,232238893,721079117
6956,370524,28285,14480762,957081,465,327,40,6432,229,376213,232212201,724585640
6957,323178,161207,12781399,835598,500,333,96,44200,63255,313791,230548066,682393479
6958,362369,995408,4476691,500914,3150,8661,101,3270,114689,289453,231712503,496560248
6959,341586,1427994,6180068,20734,3115,3161,291,94763,305048,385271,228136272,478870639
6960,199880,927717,6055606,18578,6460,9388,327,3287,12194,118250,232340229,236055961
6961,620777,1281693,6728207,18542,5836,10798,330,49195,73439,729669,229214790,397388892
6962,538224,201449,1729040,28078,213,2744,1151,4712,35364,586848,231769455,322135581
6963,297224,778171,2095227,323079,7677,19330,132,2261,362,339742,230456481,448712008
6964,428618,1939383,8230324,296383,7933,20868,686,99755,221141,437472,229614430,520466114
6965,259743,1077102,4702596,16735,3546,7896,728,91335,156008,381617,230166759,320511611
6966,456767,1449961,8277613,22472,7800,7755,535,91621,233889,433696,229726968,416061107
6967,542273,289950,2262689,20503,1144,4586,230,1234,220,590189,232304999,192896507
6968,468331,307319,1626257,53093,4568,14063,3167,104859,89259,434983,230513101,386471541
6969,496238,1587198,6150959,202236,3856,14215,934,88970,284485,487417,227612635,531534219
6970,376174,1431567,7061825,19904,3553,6206,343,112792,275233,382472,229365742,513619778
6971,242320,1150934,5775961,18436,4897,9625,451,54900,32391,260092,229892476,241488465
6972,533147,767136,4193503,16441,4022,8167,93,7278,21805,822639,230147025,278745547
6973,653496,230854,2371336,54084,3415,3361,1598,4090,3108,638657,231609601,326689252
6974,165087,830223,2907734,525786,6101,19739,548,2507,470,176173,228312911,459667967
6975,297604,1463017,6408522,23856,5847,18814,611,53922,135951,263580,231056648,385752685
6976,325003,1238742,5378721,16727,3799,7645,602,81094,135956,409448,228724964,340901599
6977,534315,1365578,7983341,20444,8132,12703,920,106144,245261,464066,229902793,436383101
6978,580121,242591,1971010,24110,846,4256,307,873,202,649746,232257977,223254009
6979,365648,134078,1346924,45594,5536,17605,2323,114559,81072,320712,230564601,402441008
6980,379238,799370,9123240,369967,5127,12152,1334,47476,99070,428996,229917687,622272131
6981,310428,1342980,6685050,24708,6823,17740,158,155,9,138477,229921123,315210969
6982,331543,1205368,5240023,14811,5721,8601,854,87899,235685,391700,229261933,440057348
6983,751084,732082,5661911,17680,5079,8386,243,3425,24524,692101,231860448,272527039
6984,745169,179765,2323108,36611,598,279,262,1481,24035,779314,231953810,304389235
6985,236113,666404,2485499,281821,8339,17670,2290,15514,37839,276349,231811578,478107516
6986,356612,1170737,6006134,31267,6306,17368,888,110526,162104,435432,228113362,414742603
6987,336843,1222710,6342369,17510,7064,8792,387,58586,133012,295360,228997432,457548557
6988,492217,1383605,6967039,21681,6733,14154,934,105427,33916,394026,228099425,437637743
6989,719643,174054,1979672,22209,724,3893,329,1304,11087,645185,232225444,185548164
6990,408567,920087,2627381,33912,3035,4629,1283,168477,515730,428603,225434282,418319650
6991,371298,1281938,7288133,599889,8033,19590,614,25637,97602,257707,229073675,572540001
6992,253988,1097784,5765176,21369,6554,10799,453,26537,90103,144982,230295604,312827912
6993,356405,1099492,6593788,18743,8107,8101,790,51320,79341,378223,230249489,445623100
6994,859709,465509,3124493,18698,2180,7208,119,3099,54875,792822,231861275,206014646
6995,676262,631682,3280129,58106,6528,16644,935,1983,198,684463,231919732,341670703
6996,339502,929451,3133435,589969,3050,9467,1161,66752,91356,419036,229633519,490443996
6997,197230,622255,4555605,20733,6292,14693,1005,59502,47709,199193,231495215,341656914
6998,361252,1296014,6719294,20302,5924,8055,204,21461,57847,358481,228952341,457939861
