,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,cycles,instructions
5642,318400,1351456,6491740,513814,6776,25596,856,59167,155546,262415,230203678,578242985
5643,255709,987890,4954384,18769,6207,10518,648,35997,72606,193389,231181323,254787789
5644,386481,1337772,7319284,18309,7745,8094,744,100575,290106,420457,228677998,492420365
5645,831332,296871,2658694,17283,1520,7325,200,2933,35694,795570,231661568,219911564
5646,671895,715546,3466657,57774,6452,15747,772,1993,84,711710,232305882,356016206
5647,340880,941115,3833019,552406,3263,9173,1855,68103,91770,405917,229644198,523841367
5648,163282,645699,4435687,21439,6678,14741,907,10320,42273,200895,231987246,317055679
5649,402996,1507350,7665460,22688,6737,6008,197,33254,236197,417770,228682835,475143769
5650,465099,775894,4519889,17051,5143,7072,453,52212,112593,200354,230538769,242869780
5651,725481,165948,2305800,31714,590,2472,784,1567,340,902773,232248209,297180451
5652,227617,525898,2001807,225344,4539,14272,2365,112168,181532,272806,229224199,473418236
5653,463425,1843888,6901759,29088,3779,14796,622,140219,385937,485005,226935761,504586672
5654,310789,1265710,6696897,18270,5263,8082,325,57758,150590,245843,230215187,358724870
5655,421049,1617749,7817081,24430,7064,13958,632,63926,32994,518222,226490274,495119559
5656,675603,124851,1908564,24165,901,4352,1600,1074,18248,670538,232181685,219727349
5657,299663,927027,2555876,56652,4889,6170,399,77277,301842,367615,226407694,432687881
5658,413540,1499499,7908022,667146,5919,16581,2116,121963,161960,402455,227996087,580487127
5659,254802,873799,5594779,19362,5517,10786,723,40122,87127,325557,230089887,356268034
5660,356876,1324172,7411114,21359,6695,7062,162,42707,281017,356777,230611381,432789169
5661,571448,487824,2595797,11605,1791,5001,442,43409,97070,500829,231202154,199344361
5662,651842,309832,2511324,57067,4092,10556,1642,86056,30683,704050,231754529,379757894
5663,332183,824510,3672748,50666,2697,7839,3945,64457,155063,306444,228789196,491063473
5664,381062,1658235,5990675,19290,2543,12198,818,153346,420490,447135,227523664,459808417
5665,332499,1255222,6850120,20415,6735,10930,23,834,3069,207005,231173097,378424898
5666,528823,1011965,6271538,18523,6144,12218,568,50200,19012,659237,228430315,385576782
5667,676521,64279,2071618,28677,593,2804,1830,1707,56,515946,232270057,242539445
5668,227112,843072,2007787,487486,4488,6522,614,102808,255167,271763,227133129,449872791
5669,469190,1511230,8765495,146434,7014,17008,545,8910,173893,405253,228525021,629265075
5670,212154,882661,5208284,19656,7525,11553,522,16047,44514,190983,230588734,249055189
