#,started on Fri,01-10-2013 03:16,,
,,,,
#,time,counts unit,events,
,1.804321949,"9,05,849",branch-misses,-57.42%
,1.804321949,"14,46,506",cache-misses,-68.07%
,1.804321949,"25,40,667",L1-dcache-load-misses,-68.06%
,1.804321949,"19,645",L1-icache-load-misses,-68.30%
,1.804321949,"1,02,857",dTLB-load-misses,-73.61%
,1.804321949,"8,060",dTLB-store-misses,-78.94%
,1.804321949,460,iTLB-load-misses,-42.35%
,1.804321949,"70,930",LLC-load-misses,-37.03%
,1.804321949,"13,410",LLC-store-misses,-31.72%
,1.804321949,"8,29,816",branch-load-misses,-37.04%
,1.804321949,"22,44,75,993",cycles,-42.36%
,1.804321949,"65,05,10,687",instructions              #    2.90  insn per cycle,-47.69%
,1.879528693,"2,47,185",branch-misses,-74.68%
,1.879528693,"4,97,674",cache-misses,-84.04%
,1.879528693,"39,37,055",L1-dcache-load-misses,-84.04%
,1.879528693,"2,64,901",L1-icache-load-misses,-83.81%
,1.879528693,"40,819",dTLB-load-misses,-78.49%
,1.879528693,"15,866",dTLB-store-misses,-73.19%
,1.879528693,"9,379",iTLB-load-misses,-21.50%
,1.879528693,"11,845",LLC-load-misses,-26.82%
,1.879528693,"38,569",LLC-store-misses,-32.12%
,1.879528693,"2,19,623",branch-load-misses,-42.76%
,1.879528693,"23,03,20,991",cycles,-53.40%
,1.879528693,"54,09,91,161",instructions              #    2.35  insn per cycle,-64.03%
#,time,counts unit,events,
,1.954686118,"3,13,049",branch-misses,-61.45%
,1.954686118,"81,301",cache-misses,-68.06%
,1.954686118,"43,92,372",L1-dcache-load-misses,-68.06%
,1.954686118,"3,23,123",L1-icache-load-misses,-68.06%
,1.954686118,"29,536",dTLB-load-misses,-68.07%
,1.954686118,"8,912",dTLB-store-misses,-70.47%
,1.954686118,"9,118",iTLB-load-misses,-42.59%
,1.954686118,"2,918",LLC-load-misses,-42.58%
,1.954686118,"19,062",LLC-store-misses,-40.18%
,1.954686118,"2,99,139",branch-load-misses,-45.50%
,1.954686118,"23,20,18,881",cycles,-50.82%
,1.954686118,"54,26,68,350",instructions              #    2.34  insn per cycle,-56.15%
,2.029863995,"2,86,487",branch-misses,-66.26%
,2.029863995,"79,623",cache-misses,-76.90%
,2.029863995,"43,69,707",L1-dcache-load-misses,-82.22%
,2.029863995,"3,34,204",L1-icache-load-misses,-84.04%
,2.029863995,"27,570",dTLB-load-misses,-84.04%
,2.029863995,"7,951",dTLB-store-misses,-81.63%
,2.029863995,"10,164",iTLB-load-misses,-23.11%
,2.029863995,"2,946",LLC-load-misses,-21.28%
,2.029863995,"22,629",LLC-store-misses,-23.69%
,2.029863995,"2,78,830",branch-load-misses,-34.32%
,2.029863995,"23,21,38,710",cycles,-44.96%
,2.029863995,"54,34,47,706",instructions              #    2.34  insn per cycle,-55.60%
,2.105018163,"2,99,606",branch-misses,-69.88%
,2.105018163,"73,290",cache-misses,-75.20%
,2.105018163,"43,20,175",L1-dcache-load-misses,-69.88%
,2.105018163,"3,25,438",L1-icache-load-misses,-68.07%
,2.105018163,"27,861",dTLB-load-misses,-68.07%
,2.105018163,"8,104",dTLB-store-misses,-68.07%
,2.105018163,"9,649",iTLB-load-misses,-40.75%
,2.105018163,"2,184",LLC-load-misses,-42.57%
,2.105018163,"17,533",LLC-store-misses,-42.57%
,2.105018163,"3,00,664",branch-load-misses,-53.21%
,2.105018163,"23,20,64,092",cycles,-59.25%
,2.105018163,"54,26,43,095",instructions              #    2.34  insn per cycle,-64.58%
,2.180231042,"2,89,309",branch-misses,-57.80%
,2.180231042,"69,063",cache-misses,-68.44%
,2.180231042,"44,03,480",L1-dcache-load-misses,-73.76%
,2.180231042,"3,39,456",L1-icache-load-misses,-79.08%
,2.180231042,"27,169",dTLB-load-misses,-84.04%
,2.180231042,"8,304",dTLB-store-misses,-84.04%
,2.180231042,"9,521",iTLB-load-misses,-31.57%
,2.180231042,"1,988",LLC-load-misses,-26.25%
,2.180231042,"15,885",LLC-store-misses,-21.28%
,2.180231042,"2,83,835",branch-load-misses,-26.60%
,2.180231042,"23,22,07,060",cycles,-36.51%
,2.180231042,"54,23,81,212",instructions              #    2.34  insn per cycle,-47.15%
,2.255459603,"3,06,017",branch-misses,-78.37%
,2.255459603,"72,714",cache-misses,-83.69%
,2.255459603,"44,00,585",L1-dcache-load-misses,-78.37%
,2.255459603,"3,18,629",L1-icache-load-misses,-73.06%
,2.255459603,"27,802",dTLB-load-misses,-68.10%
,2.255459603,"8,703",dTLB-store-misses,-68.10%
,2.255459603,"10,371",iTLB-load-misses,-32.25%
,2.255459603,"2,616",LLC-load-misses,-37.57%
,2.255459603,"18,894",LLC-store-misses,-42.54%
,2.255459603,"3,17,602",branch-load-misses,-53.17%
,2.255459603,"23,22,86,309",cycles,-63.80%
,2.255459603,"54,37,91,341",instructions              #    2.34  insn per cycle,-73.07%
,2.330648537,"3,00,040",branch-misses,-57.44%
,2.330648537,"87,193",cache-misses,-68.08%
,2.330648537,"43,91,926",L1-dcache-load-misses,-68.08%
,2.330648537,"3,36,971",L1-icache-load-misses,-70.53%
,2.330648537,"27,102",dTLB-load-misses,-75.85%
,2.330648537,"8,395",dTLB-store-misses,-81.17%
,2.330648537,"7,860",iTLB-load-misses,-40.11%
,2.330648537,"2,204",LLC-load-misses,-34.79%
,2.330648537,"25,637",LLC-store-misses,-29.47%
,2.330648537,"2,91,591",branch-load-misses,-34.79%
,2.330648537,"23,21,51,725",cycles,-40.11%
,2.330648537,"54,18,48,064",instructions              #    2.33  insn per cycle,-46.80%
,2.405849996,"3,07,581",branch-misses,-76.94%
,2.405849996,"1,17,575",cache-misses,-84.03%
,2.405849996,"44,59,210",L1-dcache-load-misses,-84.04%
,2.405849996,"3,50,665",L1-icache-load-misses,-81.58%
,2.405849996,"28,981",dTLB-load-misses,-76.26%
,2.405849996,"9,166",dTLB-store-misses,-70.94%
,2.405849996,"9,853",iTLB-load-misses,-23.74%
,2.405849996,"5,165",LLC-load-misses,-29.06%
,2.405849996,"24,197",LLC-store-misses,-34.37%
,2.405849996,"3,23,543",branch-load-misses,-45.01%
,2.405849996,"23,19,62,548",cycles,-55.65%
,2.405849996,"53,94,31,318",instructions              #    2.33  insn per cycle,-66.27%
,2.481046164,"3,02,619",branch-misses,-59.24%
,2.481046164,"75,533",cache-misses,-68.08%
,2.481046164,"42,47,086",L1-dcache-load-misses,-68.08%
,2.481046164,"3,45,261",L1-icache-load-misses,-68.08%
,2.481046164,"28,066",dTLB-load-misses,-68.08%
,2.481046164,"8,525",dTLB-store-misses,-72.67%
,2.481046164,"9,526",iTLB-load-misses,-42.56%
,2.481046164,"1,802",LLC-load-misses,-42.56%
,2.481046164,"18,074",LLC-store-misses,-37.98%
,2.481046164,"3,12,392",branch-load-misses,-43.30%
,2.481046164,"23,21,23,866",cycles,-48.62%
,2.481046164,"54,40,02,964",instructions              #    2.34  insn per cycle,-53.94%
,2.55628935,"2,88,422",branch-misses,-68.38%
,2.55628935,"74,654",cache-misses,-79.01%
,2.55628935,"43,74,158",L1-dcache-load-misses,-84.05%
,2.55628935,"3,26,726",L1-icache-load-misses,-84.05%
,2.55628935,"27,270",dTLB-load-misses,-84.05%
,2.55628935,"7,835",dTLB-store-misses,-79.47%
,2.55628935,"9,541",iTLB-load-misses,-21.26%
,2.55628935,"2,017",LLC-load-misses,-21.26%
,2.55628935,"21,349",LLC-store-misses,-25.84%
,2.55628935,"2,98,544",branch-load-misses,-36.47%
,2.55628935,"23,23,50,658",cycles,-47.10%
,2.55628935,"54,26,03,977",instructions              #    2.34  insn per cycle,-57.73%
,2.631482677,"3,06,850",branch-misses,-67.80%
,2.631482677,"70,861",cache-misses,-73.12%
,2.631482677,"43,12,867",L1-dcache-load-misses,-68.08%
,2.631482677,"3,24,917",L1-icache-load-misses,-68.08%
,2.631482677,"27,420",dTLB-load-misses,-68.08%
,2.631482677,"7,656",dTLB-store-misses,-68.09%
,2.631482677,"10,888",iTLB-load-misses,-42.56%
,2.631482677,"2,128",LLC-load-misses,-42.56%
,2.631482677,"17,192",LLC-store-misses,-42.55%
,2.631482677,"3,06,865",branch-load-misses,-51.85%
,2.631482677,"23,21,82,130",cycles,-57.18%
,2.631482677,"54,25,77,100",instructions              #    2.34  insn per cycle,-62.50%
,2.70667543,"3,20,472",branch-misses,-59.86%
,2.70667543,"70,177",cache-misses,-70.50%
,2.70667543,"43,55,337",L1-dcache-load-misses,-75.82%
,2.70667543,"3,24,682",L1-icache-load-misses,-81.14%
,2.70667543,"27,504",dTLB-load-misses,-84.04%
,2.70667543,"8,951",dTLB-store-misses,-84.05%
,2.70667543,"10,191",iTLB-load-misses,-29.50%
,2.70667543,"1,347",LLC-load-misses,-24.19%
,2.70667543,"17,413",LLC-store-misses,-21.27%
,2.70667543,"3,08,442",branch-load-misses,-27.93%
,2.70667543,"23,21,19,165",cycles,-38.57%
,2.70667543,"54,20,85,609",instructions              #    2.34  insn per cycle,-49.20%
,2.781859856,"3,11,812",branch-misses,-76.29%
,2.781859856,"1,31,829",cache-misses,-81.61%
,2.781859856,"43,31,573",L1-dcache-load-misses,-76.29%
,2.781859856,"3,41,878",L1-icache-load-misses,-70.97%
,2.781859856,"28,239",dTLB-load-misses,-68.08%
,2.781859856,"8,881",dTLB-store-misses,-68.08%
,2.781859856,"9,152",iTLB-load-misses,-34.34%
,2.781859856,"3,187",LLC-load-misses,-39.66%
,2.781859856,"33,356",LLC-store-misses,-42.56%
,2.781859856,"2,94,706",branch-load-misses,-53.20%
,2.781859856,"23,16,56,493",cycles,-63.84%
,2.781859856,"53,66,99,168",instructions              #    2.32  insn per cycle,-70.98%
,2.857039165,"3,17,562",branch-misses,-57.44%
,2.857039165,"1,31,282",cache-misses,-68.08%
,2.857039165,"45,06,054",L1-dcache-load-misses,-68.08%
,2.857039165,"3,41,240",L1-icache-load-misses,-72.66%
,2.857039165,"28,988",dTLB-load-misses,-77.98%
,2.857039165,"8,293",dTLB-store-misses,-83.30%
,2.857039165,"9,497",iTLB-load-misses,-37.99%
,2.857039165,"4,876",LLC-load-misses,-32.67%
,2.857039165,"31,544",LLC-store-misses,-27.35%
,2.857039165,"3,15,482",branch-load-misses,-32.67%
,2.857039165,"23,21,25,067",cycles,-37.99%
,2.857039165,"53,96,11,472",instructions              #    2.32  insn per cycle,-46.80%
,2.932247775,"2,85,040",branch-misses,-78.72%
,2.932247775,"1,05,236",cache-misses,-84.04%
,2.932247775,"42,53,820",L1-dcache-load-misses,-84.04%
,2.932247775,"3,32,456",L1-icache-load-misses,-79.45%
,2.932247775,"28,219",dTLB-load-misses,-74.15%
,2.932247775,"8,237",dTLB-store-misses,-68.83%
,2.932247775,"9,961",iTLB-load-misses,-25.87%
,2.932247775,"5,149",LLC-load-misses,-31.17%
,2.932247775,"37,301",LLC-store-misses,-36.48%
,2.932247775,"2,82,361",branch-load-misses,-47.12%
,2.932247775,"23,18,87,916",cycles,-57.76%
,2.932247775,"54,14,86,254",instructions              #    2.34  insn per cycle,-68.39%
,3.007445905,"2,82,744",branch-misses,-57.42%
,3.007445905,"1,35,144",cache-misses,-68.07%
,3.007445905,"43,34,387",L1-dcache-load-misses,-68.07%
,3.007445905,"3,51,893",L1-icache-load-misses,-68.07%
,3.007445905,"27,669",dTLB-load-misses,-69.46%
,3.007445905,"7,614",dTLB-store-misses,-74.79%
,3.007445905,"10,640",iTLB-load-misses,-42.57%
,3.007445905,"5,848",LLC-load-misses,-41.19%
,3.007445905,"43,110",LLC-store-misses,-35.86%
,3.007445905,"2,76,732",branch-load-misses,-41.18%
,3.007445905,"23,13,80,237",cycles,-46.49%
,3.007445905,"53,68,66,217",instructions              #    2.32  insn per cycle,-51.79%
,3.082653212,"2,85,707",branch-misses,-70.54%
,3.082653212,"1,30,378",cache-misses,-81.17%
,3.082653212,"43,20,272",L1-dcache-load-misses,-84.04%
